Year,Units,Serie temporal,Umbral de pobreza,Value
2010,porcentaje (%),a) Proporción de personas en riesgo de pobreza relativa,Nacional,29.70
2011,porcentaje (%),a) Proporción de personas en riesgo de pobreza relativa,Nacional,30.10
2012,porcentaje (%),a) Proporción de personas en riesgo de pobreza relativa,Nacional,33.60
2013,porcentaje (%),a) Proporción de personas en riesgo de pobreza relativa,Nacional,28.40
2014,porcentaje (%),a) Proporción de personas en riesgo de pobreza relativa,Nacional,27.60
2015,porcentaje (%),a) Proporción de personas en riesgo de pobreza relativa,Nacional,28.50
2016,porcentaje (%),a) Proporción de personas en riesgo de pobreza relativa,Nacional,35.00
2017,porcentaje (%),a) Proporción de personas en riesgo de pobreza relativa,Nacional,30.50
2018,porcentaje (%),a) Proporción de personas en riesgo de pobreza relativa,Nacional,32.10
2010,porcentaje (%),a) Proporción de personas en riesgo de pobreza relativa,Autonómico,23.80
2011,porcentaje (%),a) Proporción de personas en riesgo de pobreza relativa,Autonómico,20.60
2012,porcentaje (%),a) Proporción de personas en riesgo de pobreza relativa,Autonómico,20.10
2013,porcentaje (%),a) Proporción de personas en riesgo de pobreza relativa,Autonómico,21.10
2014,porcentaje (%),a) Proporción de personas en riesgo de pobreza relativa,Autonómico,21.70
2015,porcentaje (%),a) Proporción de personas en riesgo de pobreza relativa,Autonómico,24.40
2016,porcentaje (%),a) Proporción de personas en riesgo de pobreza relativa,Autonómico,20.60
2017,porcentaje (%),a) Proporción de personas en riesgo de pobreza relativa,Autonómico,22.90
2018,porcentaje (%),a) Proporción de personas en riesgo de pobreza relativa,Autonómico,23.70
2010,porcentaje (%),a) Proporción de personas en riesgo de pobreza relativa con alquiler imputado,Nacional,
2011,porcentaje (%),a) Proporción de personas en riesgo de pobreza relativa con alquiler imputado,Nacional,
2012,porcentaje (%),a) Proporción de personas en riesgo de pobreza relativa con alquiler imputado,Nacional,
2013,porcentaje (%),a) Proporción de personas en riesgo de pobreza relativa con alquiler imputado,Nacional,
2014,porcentaje (%),a) Proporción de personas en riesgo de pobreza relativa con alquiler imputado,Nacional,
2015,porcentaje (%),a) Proporción de personas en riesgo de pobreza relativa con alquiler imputado,Nacional,
2016,porcentaje (%),a) Proporción de personas en riesgo de pobreza relativa con alquiler imputado,Nacional,
2017,porcentaje (%),a) Proporción de personas en riesgo de pobreza relativa con alquiler imputado,Nacional,
2018,porcentaje (%),a) Proporción de personas en riesgo de pobreza relativa con alquiler imputado,Nacional,
2010,porcentaje (%),a) Proporción de personas en riesgo de pobreza relativa con alquiler imputado,Autonómico,23.80
2011,porcentaje (%),a) Proporción de personas en riesgo de pobreza relativa con alquiler imputado,Autonómico,20.60
2012,porcentaje (%),a) Proporción de personas en riesgo de pobreza relativa con alquiler imputado,Autonómico,20.10
2013,porcentaje (%),a) Proporción de personas en riesgo de pobreza relativa con alquiler imputado,Autonómico,21.10
2014,porcentaje (%),a) Proporción de personas en riesgo de pobreza relativa con alquiler imputado,Autonómico,21.70
2015,porcentaje (%),a) Proporción de personas en riesgo de pobreza relativa con alquiler imputado,Autonómico,24.40
2016,porcentaje (%),a) Proporción de personas en riesgo de pobreza relativa con alquiler imputado,Autonómico,20.60
2017,porcentaje (%),a) Proporción de personas en riesgo de pobreza relativa con alquiler imputado,Autonómico,22.90
2018,porcentaje (%),a) Proporción de personas en riesgo de pobreza relativa con alquiler imputado,Autonómico,23.70











