Year,Units,Serie,Tipo de enfermedad,Value
2010,"Por 100,000 habitantes",Serie A,Enfermedades cardiovasculares,162.63
2011,"Por 100,000 habitantes",Serie A,Enfermedades cardiovasculares,162.54
2012,"Por 100,000 habitantes",Serie A,Enfermedades cardiovasculares,165.71
2013,"Por 100,000 habitantes",Serie A,Enfermedades cardiovasculares,147.6
2014,"Por 100,000 habitantes",Serie A,Enfermedades cardiovasculares,164.65
2015,"Por 100,000 habitantes",Serie A,Enfermedades cardiovasculares,192.31
2016,"Por 100,000 habitantes",Serie A,Enfermedades cardiovasculares,198.02
2017,"Por 100,000 habitantes",Serie A,Enfermedades cardiovasculares,196.34
2018,"Por 100,000 habitantes",Serie A,Enfermedades cardiovasculares,212.4
2010,"Por 100,000 habitantes",Serie B,Cáncer,188.4
2011,"Por 100,000 habitantes",Serie B,Cáncer,190.41
2012,"Por 100,000 habitantes",Serie B,Cáncer,197.44
2013,"Por 100,000 habitantes",Serie B,Cáncer,196.02
2014,"Por 100,000 habitantes",Serie B,Cáncer,192.12
2015,"Por 100,000 habitantes",Serie B,Cáncer,194.15
2016,"Por 100,000 habitantes",Serie B,Cáncer,197.04
2017,"Por 100,000 habitantes",Serie B,Cáncer,196.85
2018,"Por 100,000 habitantes",Serie B,Cáncer,199.65
2010,"Por 100,000 habitantes",Serie C,Diabetes,46.56
2011,"Por 100,000 habitantes",Serie C,Diabetes,57.57
2012,"Por 100,000 habitantes",Serie C,Diabetes,52.7
2013,"Por 100,000 habitantes",Serie C,Diabetes,48.19
2014,"Por 100,000 habitantes",Serie C,Diabetes,48.72
2015,"Por 100,000 habitantes",Serie C,Diabetes,34.36
2016,"Por 100,000 habitantes",Serie C,Diabetes,22.87
2017,"Por 100,000 habitantes",Serie C,Diabetes,19.69
2018,"Por 100,000 habitantes",Serie C,Diabetes,19.28
2010,"Por 100,000 habitantes",Serie D,Enfermedades respiratorias crónicas,21.48
2011,"Por 100,000 habitantes",Serie D,Enfermedades respiratorias crónicas,27.63
2012,"Por 100,000 habitantes",Serie D,Enfermedades respiratorias crónicas,27.67
2013,"Por 100,000 habitantes",Serie D,Enfermedades respiratorias crónicas,25.18
2014,"Por 100,000 habitantes",Serie D,Enfermedades respiratorias crónicas,26.91
2015,"Por 100,000 habitantes",Serie D,Enfermedades respiratorias crónicas,27.49
2016,"Por 100,000 habitantes",Serie D,Enfermedades respiratorias crónicas,23.99
2017,"Por 100,000 habitantes",Serie D,Enfermedades respiratorias crónicas,25.57
2018,"Por 100,000 habitantes",Serie D,Enfermedades respiratorias crónicas,25.04
