Year,Units,Serie,Territorio,Serie temporal,Umbral de pobreza,Value
2010,Porcentaje (%),Serie A,ES70,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral nacional de pobreza,35.70
2011,Porcentaje (%),Serie A,ES70,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral nacional de pobreza,37.80
2012,Porcentaje (%),Serie A,ES70,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral nacional de pobreza,40.30
2013,Porcentaje (%),Serie A,ES70,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral nacional de pobreza,35.50
2014,Porcentaje (%),Serie A,ES70,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral nacional de pobreza,37.00
2015,Porcentaje (%),Serie A,ES70,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral nacional de pobreza,37.90
2016,Porcentaje (%),Serie A,ES70,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral nacional de pobreza,44.60
2017,Porcentaje (%),Serie A,ES70,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral nacional de pobreza,40.20
2018,Porcentaje (%),Serie A,ES70,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral nacional de pobreza,36.40
2010,Porcentaje (%),Serie B,ES70,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral autonómico de pobreza,30.80
2011,Porcentaje (%),Serie B,ES70,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral autonómico de pobreza,30.30
2012,Porcentaje (%),Serie B,ES70,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral autonómico de pobreza,30.80
2013,Porcentaje (%),Serie B,ES70,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral autonómico de pobreza,29.70
2014,Porcentaje (%),Serie B,ES70,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral autonómico de pobreza,33.20
2015,Porcentaje (%),Serie B,ES70,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral autonómico de pobreza,34.90
2016,Porcentaje (%),Serie B,ES70,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral autonómico de pobreza,37.70
2017,Porcentaje (%),Serie B,ES70,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral autonómico de pobreza,35.20
2018,Porcentaje (%),Serie B,ES70,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral autonómico de pobreza,29.50
2010,Porcentaje (%),Serie C,ES70,Proporción de personas con carencia material severa,,3.50
2011,Porcentaje (%),Serie C,ES70,Proporción de personas con carencia material severa,,3.90
2012,Porcentaje (%),Serie C,ES70,Proporción de personas con carencia material severa,,6.50
2013,Porcentaje (%),Serie C,ES70,Proporción de personas con carencia material severa,,8.50
2014,Porcentaje (%),Serie C,ES70,Proporción de personas con carencia material severa,,7.20
2015,Porcentaje (%),Serie C,ES70,Proporción de personas con carencia material severa,,12.40
2016,Porcentaje (%),Serie C,ES70,Proporción de personas con carencia material severa,,10.80
2017,Porcentaje (%),Serie C,ES70,Proporción de personas con carencia material severa,,13.60
2018,Porcentaje (%),Serie C,ES70,Proporción de personas con carencia material severa,,8.80
2010,Porcentaje (%),Serie D,ES70,Proporción de personas viviendo en hogares con baja intensidad de trabajo,,14.80
2011,Porcentaje (%),Serie D,ES70,Proporción de personas viviendo en hogares con baja intensidad de trabajo,,19.90
2012,Porcentaje (%),Serie D,ES70,Proporción de personas viviendo en hogares con baja intensidad de trabajo,,21.50
2013,Porcentaje (%),Serie D,ES70,Proporción de personas viviendo en hogares con baja intensidad de trabajo,,22.80
2014,Porcentaje (%),Serie D,ES70,Proporción de personas viviendo en hogares con baja intensidad de trabajo,,28.10
2015,Porcentaje (%),Serie D,ES70,Proporción de personas viviendo en hogares con baja intensidad de trabajo,,20.80
2016,Porcentaje (%),Serie D,ES70,Proporción de personas viviendo en hogares con baja intensidad de trabajo,,29.50
2017,Porcentaje (%),Serie D,ES70,Proporción de personas viviendo en hogares con baja intensidad de trabajo,,19.20
2018,Porcentaje (%),Serie D,ES70,Proporción de personas viviendo en hogares con baja intensidad de trabajo,,16.30
2010,Porcentaje (%),Serie A,ES,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral nacional de pobreza,26.1
2011,Porcentaje (%),Serie A,ES,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral nacional de pobreza,26.73
2012,Porcentaje (%),Serie A,ES,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral nacional de pobreza,27.24
2013,Porcentaje (%),Serie A,ES,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral nacional de pobreza,27.31
2014,Porcentaje (%),Serie A,ES,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral nacional de pobreza,29.15
2015,Porcentaje (%),Serie A,ES,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral nacional de pobreza,28.65
2016,Porcentaje (%),Serie A,ES,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral nacional de pobreza,27.91
2017,Porcentaje (%),Serie A,ES,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral nacional de pobreza,26.58
2018,Porcentaje (%),Serie A,ES,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral nacional de pobreza,26.09
2019,Porcentaje (%),Serie A,ES,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral nacional de pobreza,25.29
2010,Porcentaje (%),Serie B,ES,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral autonómico de pobreza,25.24
2011,Porcentaje (%),Serie B,ES,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral autonómico de pobreza,25.85
2012,Porcentaje (%),Serie B,ES,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral autonómico de pobreza,26.42
2013,Porcentaje (%),Serie B,ES,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral autonómico de pobreza,26.68
2014,Porcentaje (%),Serie B,ES,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral autonómico de pobreza,28.36
2015,Porcentaje (%),Serie B,ES,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral autonómico de pobreza,27.37
2016,Porcentaje (%),Serie B,ES,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral autonómico de pobreza,26.83
2017,Porcentaje (%),Serie B,ES,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral autonómico de pobreza,26.11
