Year,Units,Serie,Serie temporal,Value
2010,Porcentaje,Serie A,Valor añadido del sector manufacturero en proporción al PIB,3.89
2011,Porcentaje,Serie A,Valor añadido del sector manufacturero en proporción al PIB,3.63
2012,Porcentaje,Serie A,Valor añadido del sector manufacturero en proporción al PIB,3.65
2013,Porcentaje,Serie A,Valor añadido del sector manufacturero en proporción al PIB,3.23
2014,Porcentaje,Serie A,Valor añadido del sector manufacturero en proporción al PIB,3.05
2015,Porcentaje,Serie A,Valor añadido del sector manufacturero en proporción al PIB,2.83
2016,Porcentaje,Serie A,Valor añadido del sector manufacturero en proporción al PIB,2.74
2017,Porcentaje,Serie A,Valor añadido del sector manufacturero en proporción al PIB,2.84
2018,Porcentaje,Serie A,Valor añadido del sector manufacturero en proporción al PIB,2.76
2010,Euros,Serie B,Valor añadido del sector manufacturero per cápita,773.41
2011,Euros,Serie B,Valor añadido del sector manufacturero per cápita,709.86
2012,Euros,Serie B,Valor añadido del sector manufacturero per cápita,683.01
2013,Euros,Serie B,Valor añadido del sector manufacturero per cápita,598.38
2014,Euros,Serie B,Valor añadido del sector manufacturero per cápita,564.86
2015,Euros,Serie B,Valor añadido del sector manufacturero per cápita,539.25
2016,Euros,Serie B,Valor añadido del sector manufacturero per cápita,536.94
2017,Euros,Serie B,Valor añadido del sector manufacturero per cápita,580.71
2018,Euros,Serie B,Valor añadido del sector manufacturero per cápita,575.87
